Planta: 1, número: 1, disponibilidad: libre
Planta: 1, número: 2, disponibilidad: libre
Planta: 1, número: 3, disponibilidad: libre
Planta: 1, número: 4, disponibilidad: libre
Planta: 1, número: 5, disponibilidad: libre
Planta: 2, número: 1, disponibilidad: libre
Planta: 2, número: 2, disponibilidad: libre
Planta: 2, número: 3, disponibilidad: libre
Planta: 2, número: 4, disponibilidad: libre
Planta: 2, número: 5, disponibilidad: libre
Planta: 3, número: 1, disponibilidad: libre
Planta: 3, número: 2, disponibilidad: libre
Planta: 3, número: 3, disponibilidad: libre
Planta: 3, número: 4, disponibilidad: libre
Planta: 3, número: 5, disponibilidad: libre
